,name,dataset,networktype,degs,thres_access,fpr,edge_cutoff_expr,max_tf,section,positive_fraction,negative_fraction,zero_fraction,positive_fraction_nz,negative_fraction_nz
0,Eryth_cellstate_25_075_002_2000_50_500,Eryth,cellstate,25,0.75,0.02,2000,50,diagonal_window,0.14158755806907694,0.034942435871541104,0.8234700060593819,0.8020594965675057,0.19794050343249428
1,Eryth_cellstate_25_075_002_2000_50_500,Eryth,cellstate,25,0.75,0.02,2000,50,lower_triangle,0.091015854374633,0.07527891955372872,0.8337052260716383,0.547316384180791,0.452683615819209
2,Eryth_cellstate_25_075_002_2000_50_500,Eryth,cellstate,25,0.75,0.02,2000,50,remainder,0.07133497133497134,0.08296478296478296,0.8457002457002457,0.46231422505307856,0.5376857749469215
3,Eryth_cellstate_25_075_002_2000_50_500,Eryth,cellstate,25,0.75,0.02,2000,50,upper_triangle,0.09359953024075161,0.06400469759248385,0.8423957721667645,0.5938897168405365,0.4061102831594635
4,Eryth_overall_25_075_002_2000_50_500,Eryth,overall,25,0.75,0.02,2000,50,diagonal_window,0.10814663951120163,0.023014256619144604,0.8688391038696538,0.8245341614906833,0.17546583850931677
5,Eryth_overall_25_075_002_2000_50_500,Eryth,overall,25,0.75,0.02,2000,50,lower_triangle,0.061061419200954085,0.05772212283840191,0.881216457960644,0.5140562248995983,0.4859437751004016
6,Eryth_overall_25_075_002_2000_50_500,Eryth,overall,25,0.75,0.02,2000,50,remainder,0.041367806505421184,0.0640533778148457,0.8945788156797331,0.3924050632911392,0.6075949367088608
7,Eryth_overall_25_075_002_2000_50_500,Eryth,overall,25,0.75,0.02,2000,50,upper_triangle,0.06141920095408467,0.04734645199761479,0.8912343470483005,0.5646929824561403,0.43530701754385964
8,Mono_cellstate_25_075_002_2000_50_500,Mono,cellstate,25,0.75,0.02,2000,50,diagonal_window,0.11103622577927548,0.030834035383319292,0.8581297388374052,0.7826603325415677,0.2173396674584323
9,Mono_cellstate_25_075_002_2000_50_500,Mono,cellstate,25,0.75,0.02,2000,50,lower_triangle,0.06451612903225806,0.07121910347716799,0.8642647674905739,0.47530864197530864,0.5246913580246914
10,Mono_cellstate_25_075_002_2000_50_500,Mono,cellstate,25,0.75,0.02,2000,50,remainder,0.04936428966279713,0.08656716417910448,0.8640685461580984,0.36315575437169584,0.6368442456283042
11,Mono_cellstate_25_075_002_2000_50_500,Mono,cellstate,25,0.75,0.02,2000,50,upper_triangle,0.06552157519899456,0.07532467532467532,0.8591537494763302,0.46519928613920286,0.5348007138607972
12,Mono_overall_25_075_002_2000_50_500,Mono,overall,25,0.75,0.02,2000,50,diagonal_window,0.07445589919816724,0.010118365788468881,0.9154257350133639,0.8803611738148984,0.11963882618510158
13,Mono_overall_25_075_002_2000_50_500,Mono,overall,25,0.75,0.02,2000,50,lower_triangle,0.038612080820903415,0.0390352269120914,0.9223526922670052,0.49727520435967304,0.502724795640327
14,Mono_overall_25_075_002_2000_50_500,Mono,overall,25,0.75,0.02,2000,50,remainder,0.0251339997102709,0.046718817905258586,0.9281471823844705,0.3497983870967742,0.6502016129032258
15,Mono_overall_25_075_002_2000_50_500,Mono,overall,25,0.75,0.02,2000,50,upper_triangle,0.039352586480482385,0.034803766000211574,0.925843647519306,0.5306704707560628,0.4693295292439372
